Field,Subfield,Works
"Biochemistry, Genetics and Molecular Biology",Molecular Biology,10338404
"Biochemistry, Genetics and Molecular Biology",Genetics,3682311
"Biochemistry, Genetics and Molecular Biology",Biophysics,1385411
"Biochemistry, Genetics and Molecular Biology",Cell Biology,1108825
"Biochemistry, Genetics and Molecular Biology",Cancer Research,1021350
"Biochemistry, Genetics and Molecular Biology",Biotechnology,507971
"Biochemistry, Genetics and Molecular Biology",Biochemistry,400235
"Biochemistry, Genetics and Molecular Biology",Endocrinology,386089
"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,316435
"Biochemistry, Genetics and Molecular Biology",Physiology,235136
"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,221180
"Biochemistry, Genetics and Molecular Biology",Structural Biology,198863
"Biochemistry, Genetics and Molecular Biology",Developmental Biology,92654
"Biochemistry, Genetics and Molecular Biology",Aging,76872
